standard_name,gene
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,COMP
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,FNDC1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,HPX
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,IGFALS
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,SPP1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,AGRN
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,ANXA5
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,C1QA
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,C1QB
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,COL22A1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,EFEMP2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,F2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,GPC4
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,HCFC1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,HMCN1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,HTRA1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,LOXL2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,LTBP2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,MUC16
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,MXRA5
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,PLOD1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,PXDN
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,SERPINB1
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,SERPINE2
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,SFTPD
NABA_Hs_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,ST14
